Date,Ticker,Platform,Quantity,Price,Currency,Commission,Commission_Type,Commission_Currency,Total_Cost
2026-01-20,SPYD,Bull Market Brokers,9.0,11.776666666666667,USD,0.52995,Percentage,USD,105.99
2026-02-18,SPYD,Bull Market Brokers,9.0,11.466666666666667,USD,1.0,Amount,USD,104.19999999999999
2026-02-19,BTC,Binance,8e-05,66233.39,USD,8e-08,Amount,BTC,5.2986712
2026-02-19,BTC,Binance,7e-05,66233.39,USD,7e-08,Amount,BTC,4.6363373
2026-02-12,BTC,Binance,0.00015,65663.92,USD,1.5e-07,Amount,BTC,9.849588
2026-02-05,BTC,Binance,8e-05,67528.84,USD,8e-08,Amount,BTC,5.4023072
2026-02-05,BTC,Binance,0.00016,67528.34,USD,1.6e-07,Amount,BTC,10.8045344
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,8e-05,67528.65,USD,8e-08,Amount,BTC,5.402292
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,0.00015,67528.34,USD,1.5e-07,Amount,BTC,10.129251
2026-02-05,BTC,Binance,0.00014,67528.7,USD,1.4e-07,Amount,BTC,9.454018
2026-02-05,BTC,Binance,0.00017,67529.04,USD,1.7e-07,Amount,BTC,11.4799368
2026-02-05,BTC,Binance,8e-05,67528.35,USD,8e-08,Amount,BTC,5.402268
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,8e-05,67528.34,USD,8e-08,Amount,BTC,5.4022672
2026-02-05,BTC,Binance,9e-05,67528.34,USD,9e-08,Amount,BTC,6.0775506
2026-02-05,BTC,Binance,0.00014,68640.34,USD,1.4e-07,Amount,BTC,9.6096476
2026-02-03,BTC,Binance,0.00065,75904.03,USD,6.5e-07,Amount,BTC,49.3376195
2026-01-29,BTC,Binance,0.00011,85234.84,USD,1.1e-07,Amount,BTC,9.3758324
2025-12-20,BTC,Binance,0.00011,88087.27,USD,1.1e-07,Amount,BTC,9.6895997
2025-12-15,BTC,Binance,0.00011,89558.51,USD,1.1e-07,Amount,BTC,9.8514361
2025-12-10,BTC,Binance,0.0001,92130.09,USD,1e-07,Amount,BTC,9.213009
2025-11-28,BTC,Binance,0.0001,91309.69,USD,1e-07,Amount,BTC,9.130969
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,2e-05,85175.54,USD,2e-08,Amount,BTC,1.7035108
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2025-11-21,BTC,Binance,7e-05,85175.54,USD,7e-08,Amount,BTC,5.9622878
2026-02-27,BTC,Binance,0.00015,65580.61,USDT,1.0,Percentage,BTC,9.935462415
2026-03-06,BTC,Binance,0.00015,68362.48,USD,1.0,Percentage,BTC,10.356915719999998
2026-03-27,BTC,Binance,0.0003,66660.38,USD,1.0,Percentage,BTC,20.19809514
2026-04-17,SPYD,Bull Market Brokers,9.0,12.326,USD,1.0,Amount,USD,111.934
